[0, 1, 0, 0, 0, 0, 0, 0] 3 [0, 0, 0, 0, 1, 0, 0, 0] [0.043, 0.007, 0.007, 0.028, 0.861, 0.031, 0.018, 0.005]
[0, 1, 0, 0, 0, 0, 0, 0] 4 [0, 0, 0, 0, 0, 1, 0, 0] [0.013, 0.043, 0.001, 0.007, 0.05, 0.868, 0.001, 0.017]
[0, 1, 0, 0, 0, 0, 0, 0] 5 [0, 0, 0, 0, 0, 0, 1, 0] [0.009, 0.006, 0.084, 0.005, 0.008, 0.024, 0.843, 0.021]
[0, 1, 0, 0, 0, 0, 0, 0] 6 [0, 0, 0, 0, 0, 0, 0, 1] [0.003, 0.011, 0.019, 0.026, 0, 0.009, 0.038, 0.894]
[0, 1, 0, 0, 0, 0, 0, 0] 7 [1, 0, 0, 0, 0, 0, 0, 0] [0.835, 0.022, 0.019, 0.008, 0.07, 0.004, 0.008, 0.034]
[0, 0, 1, 0, 0, 0, 0, 0] 0 [0, 0, 1, 0, 0, 0, 0, 0] [0.026, 0.003, 0.905, 0.016, 0.013, 0.006, 0.025, 0.006]
[0, 0, 1, 0, 0, 0, 0, 0] 1 [0, 0, 0, 1, 0, 0, 0, 0] [0.001, 0.016, 0.019, 0.891, 0.01, 0.008, 0.016, 0.039]
[0, 0, 1, 0, 0, 0, 0, 0] 2 [0, 0, 0, 0, 1, 0, 0, 0] [0.025, 0.004, 0.016, 0.001, 0.914, 0.016, 0.024, 0]
[0, 0, 1, 0, 0, 0, 0, 0] 3 [0, 0, 0, 0, 0, 1, 0, 0] [0, 0.035, 0.006, 0.016, 0.005, 0.91, 0.003, 0.025]
[0, 0, 1, 0, 0, 0, 0, 0] 4 [0, 0, 0, 0, 0, 0, 1, 0] [0.02, 0.002, 0.036, 0.004, 0.025, 0.001, 0.893, 0.019]
[0, 0, 1, 0, 0, 0, 0, 0] 5 [0, 0, 0, 0, 0, 0, 0, 1] [0.015, 0.013, 0.007, 0.016, 0.006, 0.02, 0.017, 0.906]
[0, 0, 1, 0, 0, 0, 0, 0] 6 [1, 0, 0, 0, 0, 0, 0, 0] [0.891, 0.016, 0.021, 0.004, 0.02, 0.012, 0.028, 0.008]
[0, 0, 1, 0, 0, 0, 0, 0] 7 [0, 1, 0, 0, 0, 0, 0, 0] [0.003, 0.918, 0.004, 0.021, 0.001, 0.033, 0.004, 0.016]
[0, 0, 0, 1, 0, 0, 0, 0] 0 [0, 0, 0, 1, 0, 0, 0, 0] [0.007, 0.035, 0.021, 0.861, 0.005, 0.017, 0.011, 0.043]
[0, 0, 0, 1, 0, 0, 0, 0] 1 [0, 0, 0, 0, 1, 0, 0, 0] [0.047, 0.013, 0.008, 0.023, 0.873, 0.014, 0.009, 0.013]
[0, 0, 0, 1, 0, 0, 0, 0] 2 [0, 0, 0, 0, 0, 1, 0, 0] [0.008, 0.037, 0.007, 0.022, 0.032, 0.876, 0.005, 0.013]
[0, 0, 0, 1, 0, 0, 0, 0] 3 [0, 0, 0, 0, 0, 0, 1, 0] [0.018, 0.017, 0.038, 0.009, 0.029, 0.022, 0.861, 0.006]
[0, 0, 0, 1, 0, 0, 0, 0] 4 [0, 0, 0, 0, 0, 0, 0, 1] [0.003, 0.006, 0.014, 0.03, 0.005, 0.033, 0.028, 0.881]
[0, 0, 0, 1, 0, 0, 0, 0] 5 [1, 0, 0, 0, 0, 0, 0, 0] [0.868, 0.004, 0.019, 0.016, 0.03, 0.008, 0.034, 0.021]
[0, 0, 0, 1, 0, 0, 0, 0] 6 [0, 1, 0, 0, 0, 0, 0, 0] [0.027, 0.859, 0, 0.023, 0.015, 0.049, 0.012, 0.015]
[0, 0, 0, 1, 0, 0, 0, 0] 7 [0, 0, 1, 0, 0, 0, 0, 0] [0.034, 0.019, 0.864, 0.01, 0.016, 0.012, 0.031, 0.014]
[0, 0, 0, 0, 1, 0, 0, 0] 0 [0, 0, 0, 0, 1, 0, 0, 0] [0.025, 0.014, 0.007, 0.001, 0.93, 0.009, 0.011, 0.003]
[0, 0, 0, 0, 1, 0, 0, 0] 1 [0, 0, 0, 0, 0, 1, 0, 0] [0.003, 0.028, 0.004, 0.012, 0.013, 0.907, 0.005, 0.028]
[0, 0, 0, 0, 1, 0, 0, 0] 2 [0, 0, 0, 0, 0, 0, 1, 0] [0.005, 0, 0.04, 0.013, 0.005, 0, 0.921, 0.016]
[0, 0, 0, 0, 1, 0, 0, 0] 3 [0, 0, 0, 0, 0, 0, 0, 1] [0.005, 0.01, 0.001, 0.035, 0.005, 0.036, 0.007, 0.901]
[0, 0, 0, 0, 1, 0, 0, 0] 4 [1, 0, 0, 0, 0, 0, 0, 0] [0.916, 0.024, 0.026, 0.002, 0.016, 0.001, 0.014, 0.001]
[0, 0, 0, 0, 1, 0, 0, 0] 5 [0, 1, 0, 0, 0, 0, 0, 0] [0.009, 0.916, 0.003, 0.026, 0.001, 0.03, 0.002, 0.013]
[0, 0, 0, 0, 1, 0, 0, 0] 6 [0, 0, 1, 0, 0, 0, 0, 0] [0.021, 0.001, 0.911, 0.028, 0.016, 0.001, 0.02, 0.002]
[0, 0, 0, 0, 1, 0, 0, 0] 7 [0, 0, 0, 1, 0, 0, 0, 0] [0.008, 0.019, 0.018, 0.914, 0.01, 0.007, 0.005, 0.019]
